"MS.Zoning","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Cars","Garage.Area","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
"RL",11241,"Pave","NP","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA",1004,"GasA","Ex","Y","SBrkr",1004,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",2,480,"Y",0,0,0,0,0,0,"NP","NP","Shed",700,3,2010,"WD ","Normal",149000
"RL",12537,"Pave","NP","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1971,2008,"Gable","CompShg","VinylSd","None",0,"TA","TA","CBlock","TA",1078,"GasA","Ex","Y","SBrkr",1078,1,0,1,1,3,1,"TA",6,"Typ",1,"Fa","Attchd",2,500,"Y",0,0,0,0,0,0,"NP","NP","NP",0,4,2010,"WD ","Normal",149900
"RL",8450,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1968,1968,"Gable","CompShg","VinylSd","None",0,"TA","TA","CBlock","TA",1056,"GasA","Ex","Y","SBrkr",1056,1,0,1,0,3,1,"TA",6,"Typ",1,"Fa","Attchd",1,304,"Y",0,85,184,0,0,0,"NP","NP","NP",0,7,2010,"WD ","Normal",142000
"RL",8400,"Pave","NP","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1970,1970,"Gable","CompShg","Plywood","None",0,"TA","TA","CBlock","TA",882,"GasA","TA","Y","SBrkr",882,1,0,1,0,2,1,"TA",4,"Typ",0,"NP","Attchd",2,525,"Y",240,0,0,0,0,0,"NP","MnPrv","NP",0,4,2010,"WD ","Normal",126000
"RL",10500,"Pave","NP","Reg","Lvl","AllPub","FR2","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1971,1971,"Gable","CompShg","HdBoard","None",0,"TA","TA","CBlock","TA",864,"GasA","TA","Y","SBrkr",864,0,0,1,0,3,1,"TA",5,"Typ",1,"Po","NP",0,0,"Y",0,0,0,0,0,0,"NP","NP","NP",0,4,2010,"ConLI","Normal",115000
"RH",5858,"Pave","NP","IR1","Lvl","AllPub","FR2","Gtl","NAmes","Norm","Norm","TwnhsE","1Story",7,5,1999,1999,"Gable","CompShg","MetalSd","None",0,"Gd","TA","PConc","Gd",1405,"GasA","Ex","Y","SBrkr",1337,1,0,2,0,2,1,"Gd",5,"Typ",1,"Fa","Attchd",2,511,"Y",203,68,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",184000
"RM",1680,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,5,1971,1971,"Gable","CompShg","HdBoard","BrkFace",504,"TA","TA","CBlock","TA",483,"GasA","TA","Y","SBrkr",987,0,0,1,1,2,1,"TA",5,"Typ",0,"NP","Detchd",1,264,"Y",275,0,0,0,0,0,"NP","NP","NP",0,2,2010,"COD","Normal",96000
"RM",1680,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",5,5,1971,1971,"Gable","CompShg","HdBoard","BrkFace",492,"TA","TA","CBlock","TA",525,"GasA","TA","Y","SBrkr",1092,0,0,1,1,3,1,"TA",6,"Typ",0,"NP","Detchd",1,320,"Y",0,0,0,0,0,0,"NP","NP","NP",0,3,2010,"WD ","Normal",105500
"RM",1680,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,5,1971,1971,"Gable","CompShg","HdBoard","BrkFace",381,"TA","TA","CBlock","TA",525,"GasA","TA","Y","SBrkr",1092,0,0,1,1,3,1,"TA",6,"Typ",0,"NP","Detchd",1,264,"Y",0,0,0,0,0,0,"NP","NP","NP",0,3,2010,"WD ","Family",88000
"RL",4043,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","TwnhsE","1Story",6,5,1977,1977,"Gable","CompShg","Plywood","None",0,"TA","TA","CBlock","Gd",1069,"GasA","TA","Y","SBrkr",1069,0,0,2,0,2,1,"TA",4,"Typ",1,"Fa","Attchd",2,440,"Y",0,55,0,0,165,0,"NP","NP","NP",0,7,2010,"WD ","Normal",127500
"RL",2280,"Pave","NP","Reg","Lvl","AllPub","FR2","Gtl","NPkVill","Norm","Norm","Twnhs","2Story",6,6,1975,1975,"Gable","CompShg","Plywood","None",0,"TA","TA","CBlock","TA",855,"GasA","TA","Y","SBrkr",1456,0,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",2,440,"Y",173,0,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",149900
"RL",2280,"Pave","NP","Reg","Lvl","AllPub","FR2","Gtl","NPkVill","Norm","Norm","Twnhs","1Story",7,6,1975,1975,"Gable","CompShg","Plywood","None",0,"TA","TA","CBlock","Gd",836,"GasA","Ex","Y","SBrkr",836,0,0,1,0,2,1,"TA",4,"Typ",0,"NP","Attchd",1,308,"Y",0,30,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",120000
"RL",2280,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","NPkVill","Norm","Norm","Twnhs","2Story",6,5,1978,1978,"Gable","CompShg","Plywood","None",0,"TA","TA","CBlock","Gd",855,"GasA","Fa","Y","SBrkr",1456,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2,440,"Y",26,0,0,0,0,0,"NP","NP","NP",0,7,2010,"WD ","Normal",146000
"RL",12858,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2009,2010,"Gable","CompShg","VinylSd","Stone",162,"Ex","TA","PConc","Ex",1590,"GasA","Ex","Y","SBrkr",2334,0,0,2,1,3,1,"Ex",10,"Typ",1,"Gd","Attchd",3,751,"Y",144,133,0,0,0,0,"NP","NP","NP",0,1,2010,"New","Partial",376162
"RL",11478,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","Stone",200,"Gd","TA","PConc","Ex",1704,"GasA","Ex","Y","SBrkr",1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",3,772,"Y",0,50,0,0,0,0,"NP","NP","NP",0,5,2010,"WD ","Normal",306000
"RL",10159,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",9,5,2009,2010,"Hip","CompShg","VinylSd","Stone",450,"Ex","TA","PConc","Ex",1930,"GasA","Ex","Y","SBrkr",1940,1,0,2,1,3,1,"Ex",8,"Typ",1,"Gd","Attchd",3,606,"Y",168,95,0,0,0,0,"NP","NP","NP",0,4,2010,"New","Partial",395192
"RL",12883,"Pave","NP","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2009,2010,"Gable","CompShg","VinylSd","Stone",256,"Gd","TA","PConc","Gd",1544,"GasA","Ex","Y","SBrkr",1544,0,0,2,0,3,1,"Gd",7,"Typ",0,"NP","Attchd",3,868,"Y",0,35,0,0,0,0,"NP","NP","NP",0,6,2010,"New","Partial",290941
"RL",12182,"Pave","NP","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","BrkFace",226,"Gd","TA","PConc","Gd",1541,"GasA","Ex","Y","SBrkr",1541,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2,532,"Y",0,70,0,0,0,0,"NP","NP","NP",0,5,2010,"New","Partial",220000
"RL",11520,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","PosN","Norm","1Fam","1Story",9,5,2005,2005,"Hip","CompShg","VinylSd","BrkFace",615,"Gd","TA","PConc","Ex",1698,"GasA","Ex","Y","SBrkr",1698,0,0,2,0,3,1,"Ex",7,"Typ",1,"Gd","Attchd",3,730,"Y",192,74,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",275000
"RL",14122,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Hip","CompShg","CemntBd","BrkFace",240,"Gd","TA","PConc","Ex",1822,"GasA","Ex","Y","SBrkr",1822,0,0,2,0,3,1,"Ex",8,"Typ",1,"Gd","Attchd",3,678,"Y",0,119,0,0,0,0,"NP","NP","NP",0,2,2010,"WD ","Normal",259000
"RL",10171,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",7,5,2004,2004,"Gable","CompShg","VinylSd","BrkFace",168,"Gd","TA","PConc","Gd",1517,"GasA","Ex","Y","SBrkr",1535,0,0,2,0,3,1,"Gd",7,"Typ",0,"NP","Attchd",2,532,"Y",0,0,0,0,0,0,"NP","NP","NP",0,3,2010,"WD ","Normal",214000
"RL",12919,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",9,5,2009,2010,"Hip","CompShg","VinylSd","Stone",760,"Ex","TA","PConc","Ex",2330,"GasA","Ex","Y","SBrkr",2364,1,0,2,1,2,1,"Ex",11,"Typ",2,"Gd","Attchd",3,820,"Y",0,67,0,0,0,0,"NP","NP","NP",0,3,2010,"New","Partial",611657
"RL",6371,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",7,5,2009,2010,"Gable","CompShg","VinylSd","Stone",128,"Gd","TA","PConc","Gd",1358,"GasA","Ex","Y","SBrkr",1358,1,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2,484,"Y",192,35,0,0,0,0,"NP","NP","NP",0,6,2010,"New","Partial",224000
"RL",14300,"Pave","NP","Reg","HLS","AllPub","Inside","Mod","NridgHt","Norm","Norm","1Fam","1Story",9,5,2003,2004,"Hip","CompShg","VinylSd","BrkFace",1095,"Ex","TA","PConc","Ex",2846,"GasA","Ex","Y","SBrkr",2696,1,0,2,1,3,1,"Ex",10,"Typ",2,"Gd","Attchd",3,958,"Y",220,150,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",500000
"RL",13650,"Pave","NP","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2002,2002,"Gable","CompShg","VinylSd","BrkFace",232,"Gd","TA","PConc","Gd",1671,"GasA","Ex","Y","SBrkr",2250,1,0,2,1,3,1,"Gd",7,"Typ",1,"Ex","Attchd",3,756,"Y",238,130,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",320000
"RL",7658,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex",1752,"GasA","Ex","Y","SBrkr",1752,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2,576,"Y",196,82,0,0,0,0,"NP","NP","NP",0,2,2010,"WD ","Normal",319900
"RL",7132,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","Stone",178,"Gd","TA","PConc","Gd",1370,"GasA","Ex","Y","SBrkr",1370,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2,484,"Y",120,49,0,0,0,0,"NP","NP","NP",0,4,2010,"WD ","Normal",205000
"RL",2628,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","Stone",106,"Gd","TA","PConc","Gd",764,"GasA","Ex","Y","SBrkr",1626,0,0,2,1,2,1,"Gd",6,"Typ",0,"NP","BuiltIn",2,474,"Y",0,27,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",175500
"RL",18494,"Pave","NP","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","None",0,"Gd","TA","PConc","Gd",1324,"GasA","Ex","Y","SBrkr",1324,0,0,2,0,3,1,"Gd",6,"Typ",0,"NP","Attchd",2,430,"Y",36,23,0,0,0,0,"NP","NP","NP",0,1,2010,"WD ","Normal",199500
"RL",3203,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","BrkFace",14,"Gd","TA","PConc","Gd",1145,"GasA","Ex","Y","SBrkr",1145,0,0,2,0,2,1,"Gd",6,"Typ",0,"NP","Attchd",2,437,"Y",100,116,0,0,0,0,"NP","NP","NP",0,1,2010,"WD ","Normal",160000
"RL",3182,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","BrkFace",16,"Gd","TA","PConc","Gd",1256,"GasA","Ex","Y","SBrkr",1269,0,0,2,0,2,1,"Gd",6,"Typ",1,"TA","Attchd",2,430,"Y",146,20,0,0,144,0,"NP","NP","NP",0,4,2010,"WD ","Normal",192000
"RL",13300,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",7,5,2004,2004,"Gable","CompShg","VinylSd","None",0,"Gd","TA","PConc","Gd",384,"GasA","Ex","Y","SBrkr",1374,1,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn",2,400,"Y",100,0,0,0,0,0,"NP","NP","NP",0,6,2010,"WD ","Normal",184500
"RL",7851,"Pave","NP","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2002,2002,"Gable","CompShg","VinylSd","",0,"Gd","TA","PConc","Gd",860,"GasA","Ex","Y","SBrkr",1960,1,0,2,1,4,1,"Gd",8,"Typ",2,"TA","BuiltIn",2,440,"Y",288,48,0,0,0,0,"NP","NP","NP",0,5,2010,"WD ","Normal",216500
"RL",8577,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","None",0,"Gd","TA","PConc","Gd",847,"GasA","Ex","Y","SBrkr",1733,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn",2,433,"Y",144,48,0,0,0,0,"NP","NP","NP",0,4,2010,"WD ","Normal",185088
"RL",7750,"Pave","NP","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","SLvl",7,5,2000,2000,"Gable","CompShg","VinylSd","None",0,"TA","TA","PConc","Gd",384,"GasA","Ex","Y","SBrkr",1430,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn",2,400,"Y",180,0,0,0,0,0,"NP","NP","NP",0,4,2010,"WD ","Normal",180000
"RL",9505,"Pave","NP","IR1","Lvl","AllPub","CulDSac","Gtl","Gilbert","Norm","Norm","1Fam","2Story",7,5,2001,2001,"Gable","CompShg","VinylSd","BrkFace",180,"Gd","TA","PConc","Gd",884,"GasA","Ex","Y","SBrkr",2035,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","BuiltIn",2,434,"Y",144,48,0,0,0,0,"NP","NP","NP",0,5,2010,"WD ","Normal",222500
"RL",14774,"Pave","NP","IR1","Lvl","AllPub","Corner","Gtl","NoRidge","Norm","Norm","1Fam","2Story",9,5,1999,1999,"Gable","CompShg","VinylSd","BrkFace",165,"Gd","TA","PConc","Gd",1393,"GasA","Ex","Y","SBrkr",2599,0,0,2,1,4,1,"Gd",10,"Typ",1,"TA","BuiltIn",3,779,"Y",668,30,0,0,0,0,"NP","NP","NP",0,5,2010,"WD ","Normal",333168
